link,scraped_at,title
https://otomotif.antaranews.com/berita/1852008/yamaha-tambah-varian-all-new-nmax-155-versi-standard-sudah-connected,2020-11-22 23:05:20.092254,
https://www.antaranews.com/berita/1851472/profil-kapolda-metro-jaya-irjen-pol-fadil-imran,2020-11-22 23:05:20.136762,Profil Kapolda Metro Jaya Irjen Pol Fadil Imran
https://www.antaranews.com/berita/1852968/klasemen-liga-jerman-bayern-tetap-di-puncak-dortmund-rapatkan-jarak,2020-11-22 23:05:20.179788,"Klasemen Liga Jerman: Bayern tetap di puncak, Dortmund rapatkan jarak"
https://www.antaranews.com/berita/1852880/thiem-kalahkan-djokovic-untuk-capai-partai-puncak-atp-finals,2020-11-22 23:05:20.221578,Thiem kalahkan Djokovic untuk capai partai puncak ATP Finals
https://www.antaranews.com/berita/1851932/legenda-timnas-indonesia-ricky-yakobi-meninggal-dunia,2020-11-22 23:05:20.253644,Legenda timnas Indonesia Ricky Yakobi meninggal dunia
