link,scraped_at,title
https://www.jawapos.com/news_sequence/desa-bisa-kaya-dari-wisata/,2020-11-22 23:02:18.000895,Desa Bisa Kaya Dari Wisata
https://www.jawapos.com/news_sequence/destinasi-wisata-di-jawa-timur/,2020-11-22 23:02:18.050085,Destinasi Wisata Di Jawa Timur
https://www.jawapos.com/news_sequence/santripreneur/,2020-11-22 23:02:18.097578,Santripreneur
https://www.jawapos.com/news_sequence/satu-rasa-pedas/,2020-11-22 23:02:18.144128,"Satu Rasa, Pedas!"
https://www.jawapos.com/news_sequence/merawat-bahasa-daerah/,2020-11-22 23:02:18.176195,Merawat Bahasa Daerah
