date,headline_link,headline_title,link,page,scraped_at,title
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/putus-dari-scott-disick-sofia-richie-tertangkap-cium-mesra-pacar-barunya-b1f4fa.html,9.0,2020-11-22 21:41:29.160146,"Putus dari Scott Disick, Sofia Richie Tertangkap Cium Mesra Pacar Barunya"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/aldi-taher-suami-yang-baik-itu-yang-mendukung-poligami-fc7748.html,9.0,2020-11-22 21:41:29.216166,Aldi Taher: Suami yang Baik Itu yang Mendukung Poligami
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/dangdut/gara-gara-diet-gunawan-lida-sempat-hampir-jatuh-sakit-karena-ingin-menjaga-penampilan-716063.html,9.0,2020-11-22 21:41:29.269573,"Gara-Gara Diet, Gunawan LIDA Sempat Hampir Jatuh Sakit Karena Ingin Menjaga Penampilan"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/detail-pernikahan-tata-janeeta-dan-brotoseno-menikah-secara-resmi---akhirnya-pamer-suami.html,9.0,2020-11-22 21:41:29.323495,"Detail Pernikahan Tata Janeeta dan Brotoseno, Menikah Secara Resmi - Akhirnya Pamer Suami"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/7-kronologi-viralnya-insiden-komedian-malih-kesal-setelah-dibuat-jatuh-oleh-ade-londok-3e133c.html,9.0,2020-11-22 21:41:29.377219,7 Kronologi Viralnya Insiden Komedian Malih Kesal Setelah Dibuat Jatuh oleh Ade Londok
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/ayah-baim-meninggal-dunia-tadi-pagi-artika-sari-devi-sebut-kena-serangan-jantung-adc681.html,9.0,2020-11-22 21:41:29.433602,"Ayah Baim Meninggal Dunia Tadi Pagi, Artika Sari Devi Sebut Kena Serangan Jantung"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/7-potret-kamar-pembantu-di-rumah-bebizie-yang-bikin-netizen-tercengang-nyaman-ber-ac-dan-punya-sepeda-brompton-sendiri.html,9.0,2020-11-22 21:41:29.489402,"7 Potret Kamar Pembantu di Rumah Bebizie yang Bikin Netizen Tercengang, Nyaman Ber-AC dan Punya Sepeda Brompton Sendiri"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/sultan-raffi-ahmad-sebut-uang-nagita-slavina-lebih-banyak-dari-dirinya-615b18.html,9.0,2020-11-22 21:41:29.548012,"Sultan, Raffi Ahmad Sebut Uang Nagita Slavina Lebih Banyak dari Dirinya"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/sehari-bisa-bawa-1000-penonton-bayaran-ke-studio-tv-nia-agency-raup-ratusan-juta-per-bulan-aaef33.html,9.0,2020-11-22 21:41:29.604214,"Sehari Bisa Bawa 1.000 Penonton Bayaran ke Studio TV, Nia Agency Raup Ratusan Juta Per Bulan"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/9-potret-aurel--atta-halilintar-boncengan-mesra-naik-motor-gede-keliling-komplek.html,9.0,2020-11-22 21:41:29.677497,9 Potret Aurel & Atta Halilintar Boncengan Mesra Naik Motor Gede Keliling Komplek
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/10-potret-syahrini-datangi-pn-jaksel-kepanasan-kipasan-kertas-dengan-wajah-memelas.html,9.0,2020-11-22 21:41:29.734552,"10 Potret Syahrini Datangi PN Jaksel, Kepanasan Kipasan Kertas dengan Wajah Memelas"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/korea/10-potret-senyuman-manis-menular-sangyeon-the-boyz-sang-matahari-cerah-para-the-b.html,9.0,2020-11-22 21:41:29.788139,"10 Potret Senyuman Manis Menular Sangyeon The Boyz, Sang Matahari Cerah Para 'The B'"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/8-potret-mesra-irwansyah-dan-zaskia-sungkar-yang-makin-lengket-di-masa-kehamilan-bikin-baper-netizen.html,10.0,2020-11-22 21:41:33.841369,"8 Potret Mesra Irwansyah dan Zaskia Sungkar yang Makin Lengket di Masa Kehamilan, Bikin Baper Netizen"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/pamer-kemesraan-dengan-erevano-barbie-kumalasari-sudah-move-on-dari-galih-ginanjar-a1de61.html,10.0,2020-11-22 21:41:33.900777,"Pamer Kemesraan dengan Erevano, Barbie Kumalasari Sudah Move On dari Galih Ginanjar?"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/aktor-vishal-karwal-yang-pernah-heboh-dengan-gebby-vesta-resmi-menikah-di-india-16200a.html,10.0,2020-11-22 21:41:33.977665,"Aktor Vishal Karwal yang Pernah Heboh dengan Gebby Vesta, Resmi Menikah di India"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/selfie-bareng-zaskia-sungkar-dan-irwansyah-pamerkan-baby-bump-yang-makin-besar-9b38a5.html,10.0,2020-11-22 21:41:34.050488,"Selfie Bareng, Zaskia Sungkar dan Irwansyah Pamerkan Baby Bump yang Makin Besar"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/sederet-asisten-selebritis-yang-dulunya-penonton-bayaran-kini-tenar-dan-penghasilannya-puluhan-juta.html,10.0,2020-11-22 21:41:34.129629,"Sederet Asisten Selebritis yang Dulunya Penonton Bayaran, Kini Tenar dan Penghasilannya Puluhan Juta"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/korea/video-teaser-winter-aespa-dan-ae-winter-sama-sama-punya-visual-cantik-bak-boneka-barbie-f38c89.html,10.0,2020-11-22 21:41:34.214036,"Video Teaser Winter aespa dan ae-Winter, Sama-Sama Punya Visual Cantik Bak Boneka Barbie"
