link,scraped_at,title
https://tirto.id/invasi-muslim-arab-mengakhiri-kejayaan-imperium-sasaniyah-persia-f7ew,2020-11-22 19:53:01.015112,Invasi Muslim Arab Mengakhiri Kejayaan Imperium Sasaniyah Persia
https://tirto.id/keadilan-telah-runtuh-hukuman-ringan-tni-yang-siksa-bunuh-jusni-f7ed,2020-11-22 19:53:01.054942,Keadilan Telah Runtuh: Hukuman Ringan TNI yang Siksa & Bunuh Jusni
https://tirto.id/kisah-gkj-klasis-jogja-perjuangan-minoritas-melawan-intoleransi-f7bN,2020-11-22 19:53:01.103925,Kisah GKJ Klasis Jogja: Perjuangan Minoritas Melawan Intoleransi
https://tirto.id/ketua-cc-pki-dn-aidit-tumbuh-besar-dalam-keluarga-muslim-taat-cQaj,2020-11-22 19:53:01.142635,Ketua CC PKI D.N. Aidit Tumbuh Besar dalam Keluarga Muslim Taat
