link,scraped_at,title
https://www.viva.co.id/militer/militer-indonesia/1324613-penampakan-mayjen-tni-dudung-gagah-berdiri-di-hadapan-ribuan-massa-fpi?medium=terpopuler-widget,2020-11-22 22:13:38.548039,"1
Penampakan Mayjen TNI Dudung Gagah Berdiri di Hadapan Ribuan Massa FPI"
https://www.viva.co.id/otomotif/mobil/1324560-mobil-baru-honda-sudah-ada-di-diler-bensinnya-seliter-28-km?medium=terpopuler-widget,2020-11-22 22:13:38.589188,"3
Mobil Baru Honda Sudah Ada di Diler, Bensinnya Seliter 28 Km"
https://www.viva.co.id/sport/onepride/1324477-jeritan-wanita-korban-maniak-seks-dan-keganasan-mike-tyson?medium=terpopuler-widget,2020-11-22 22:13:38.618344,"4
Jeritan Wanita Korban Maniak Seks dan Keganasan Mike Tyson"
https://www.viva.co.id/militer/militer-indonesia/1324577-pangdam-tni-pemberantas-baliho-rizieq-shihab-ternyata-jago-tembak?medium=terpopuler-widget,2020-11-22 22:13:38.643666,"5
Pangdam TNI Pemberantas Baliho Rizieq Shihab Ternyata Jago Tembak"
https://www.viva.co.id/militer/militer-indonesia/1324608-terkuak-sosok-wanita-baju-kotak-di-ranpur-tni-saat-copot-baliho-rizieq?medium=terpopuler-widget,2020-11-22 22:13:38.670859,"6
Terkuak Sosok Wanita Baju Kotak di Ranpur TNI saat Copot Baliho Rizieq"
https://www.viva.co.id/sport/onepride/1324422-nasib-sial-bekas-rumah-mewah-mike-tyson?medium=terpopuler-widget,2020-11-22 22:13:38.700390,"7
Nasib Sial Bekas Rumah Mewah Mike Tyson"
https://www.viva.co.id/berita/nasional/1324614-putri-habib-yang-doakan-jokowi-umur-pendek-di-bully-bappenas-membela?medium=terpopuler-widget,2020-11-22 22:13:38.744944,"8
Putri Habib yang Doakan Jokowi Umur Pendek Di-bully, Bappenas Membela"
