link,scraped_at,summary,timestamp,title,type
https://metro.tempo.co/read/1406658/tulang-manusia-ditemukan-dalam-rumah-kontrakan-di-depok,2020-11-22 21:58:28.569437,"Seorang pemilik kontrakan menemukan tulang belulang yang dikubur dalam rumah kontrakannya di Sawangan, Depok.",18 November 2020 23:06 WIB,Tulang Manusia Ditemukan dalam Rumah Kontrakan di Depok,1minggu
https://nasional.tempo.co/read/1407410/ridwan-kamil-minta-pemerintah-adil-soal-sanksi-pencopotan-di-instruksi-mendagri,2020-11-22 21:58:28.645875,Ridwan Kamil berharap pemerintah turut memperhatikan asas keadilan terkait pemberhentian kepala daerah di Instruksi Mendagri.,21 November 2020 09:23 WIB,Ridwan Kamil Minta Pemerintah Adil Soal Sanksi Pencopotan di Instruksi Mendagri,1minggu
https://metro.tempo.co/read/1407211/soal-konvoi-tni-di-depan-markas-fpi-petamburan-pa-212-haram-memberontak,2020-11-22 21:58:28.729075,"PA 212 menyesalkan TNI yang melakukan unjuk kekuatan di depan markas FPI Petamburan, Jakata Pusat. Rizieq, kata Novel, sangat mencintai Indonesia.",20 November 2020 14:40 WIB,"Soal Konvoi TNI di Depan Markas FPI Petamburan, PA 212: Haram Memberontak",1minggu
https://bisnis.tempo.co/read/1406283/rekam-jejak-zuhairi-misrawi-pendukung-jokowi-yang-jadi-komisaris-bumn,2020-11-22 21:58:28.799913,Zuhairi Misrawi resmi ditunjuk Menteri BUMN Erick Thohir menjadi komisaris independen PT Yodya Karya (Persero). Seperti apa rekam jejaknya?,18 November 2020 07:06 WIB,"Rekam Jejak Zuhairi Misrawi, Pendukung Jokowi yang Jadi Komisaris BUMN",1minggu
https://nasional.tempo.co/read/1404372/polri-kaget-nama-rizieq-shihab-masuk-daftar-red-notice-interpol,2020-11-22 21:58:32.572340,"Rizieq Shihab mengatakan, pemerintah Arab Saudi pernah memeriksa dirinya setelah mendapat laporan bahwa Rizieq adalah buronan yang melarikan diri.",11 November 2020 15:47 WIB,Polri Kaget Nama Rizieq Shihab Masuk Daftar Red Notice Interpol,1bulan
https://nasional.tempo.co/read/1407459/tni-turunkan-baliho-rizieq-shihab-haris-azhar-ini-serius,2020-11-22 21:58:32.669030,Haris Azhar menanggapi penurunan baliho Rizieq Shihab. Ia tidak yakin Rizieq bisa mengakibatkan atau menyulut perang.,21 November 2020 11:24 WIB,"TNI Turunkan Baliho Rizieq Shihab, Haris Azhar: Ini Serius",1bulan
https://metro.tempo.co/read/1407119/gayung-tak-bersambut-wacana-interpelasi-anies-baswedan,2020-11-22 21:58:32.740523,Niat Fraksi PSI DPRD DKI menggulirkan hak interpelasi ke Gubernur Anies Baswedan mendapat sambutan dingin politikus Kebon Sirih.,20 November 2020 09:40 WIB,Gayung Tak Bersambut Wacana Interpelasi Anies Baswedan,1bulan
https://metro.tempo.co/read/1407645/polisi-dan-tni-ke-rumah-rizieq-shihab-fpi-minta-tes-swab-kami-tolak,2020-11-22 21:58:32.813612,FPI menyatakan kedatangan polisi dan TNI ke rumah Rizieq Shihab untuk meminta warga melakukan tes swab.,22 November 2020 06:04 WIB,"Polisi dan TNI ke Rumah Rizieq Shihab, FPI: Minta Tes Swab, Kami Tolak",1bulan
https://metro.tempo.co/read/1407620/tni-dan-polisi-datangi-rumah-rizieq-shihab-malam-ini-begini-kata-warga,2020-11-22 21:58:32.886345,"Sejumlah anggota polisi dan TNI terlihat mendatangi rumah pimpinan Front Pembela Islam (FPI) Rizieq Shihab di Jalan Petamburan III, Tanah Abang.",21 November 2020 23:59 WIB,"TNI dan Polisi Datangi Rumah Rizieq Shihab Malam Ini, Begini Kata Warga",1bulan
https://dunia.tempo.co/read/1403262/joe-biden-dinyatakan-menang-pemilu-as,2020-11-22 21:58:32.959653,"Politikus Partai Demokrat, Joe Biden, dinyatakan memenangkan pemilihan umum Amerika Serikat (Pemilu AS). Ia akan menjadi presiden ke-46 AS.",7 November 2020 23:34 WIB,Joe Biden Dinyatakan Menang Pemilu AS,1bulan
