link,rank,scraped_at,timestamp,title,type
https://www.tribunnews.com/nasional/2020/11/16/breaking-news-kapolda-metro-jaya-dan-kapolda-jawa-barat-dicopot,1,2020-11-22 20:39:52.069853,"Senin, 16 November 2020 16:12 WIB",BREAKING NEWS: Kapolda Metro Jaya dan Kapolda Jawa Barat Dicopot,1w
https://www.tribunnews.com/pendidikan/2020/11/20/login-infogtkkemdikbudgoid-ini-cara-cek-penerima-blt-guru-honorer-syarat-dan-cara-pencairan,2,2020-11-22 20:39:52.145471,"Jumat, 20 November 2020 05:55 WIB","LOGIN info.gtk.kemdikbud.go.id, Ini Cara Cek Penerima BLT Guru Honorer, Syarat dan Cara Pencairan",1w
https://www.tribunnews.com/seleb/2020/11/21/populer-seleb-nikita-komentari-kesehatan-habib-rizieq-nora-alexandra-dapat-ancaman-pembunuhan,3,2020-11-22 20:39:52.225292,"Sabtu, 21 November 2020 09:00 WIB",POPULER Seleb: Nikita Komentari Kesehatan Habib Rizieq | Nora Alexandra Dapat Ancaman Pembunuhan,1w
https://www.tribunnews.com/nasional/2020/11/19/awan-gelap-langit-hitam-532-prajurit-kopassus-bersenjata-lengkap-siap-hancurkan-musuh,4,2020-11-22 20:39:52.304533,"Kamis, 19 November 2020 13:18 WIB","''Awan Gelap, Langit Hitam'' 532 Prajurit Kopassus Bersenjata Lengkap Siap Hancurkan Musuh",1w
https://www.tribunnews.com/nasional/2020/11/20/mayjen-purn-tb-hasanuddin-usulan-pangdam-jaya-bubarkan-fpi-didukung-rakyat-harus-direspon-negara,5,2020-11-22 20:39:52.379635,"Jumat, 20 November 2020 17:23 WIB","Mayjen (Purn) TB Hasanuddin: Usulan Pangdam Jaya Bubarkan FPI Didukung Rakyat, Harus Direspon Negara",1w
https://www.tribunnews.com/nasional/2020/11/17/kapolda-metro-jaya-dicopot-ipw-diduga-bagian-dari-persaingan-bursa-calon-kapolri,6,2020-11-22 20:39:52.456654,"Selasa, 17 November 2020 06:35 WIB","Kapolda Metro Jaya Dicopot, IPW: Diduga Bagian dari Persaingan Bursa Calon Kapolri",1w
https://www.tribunnews.com/nasional/2020/11/19/dibantah-slamet-maarif-najwa-shihab-putarkan-video-pidato-habib-rizieq-ajak-warga-kumpul,7,2020-11-22 20:39:52.535355,"Kamis, 19 November 2020 09:40 WIB","Dibantah Slamet Maarif, Najwa Shihab Putarkan Video Pidato Habib Rizieq Ajak Warga Kumpul",1w
https://www.tribunnews.com/nasional/2020/11/21/ipw-kasus-rizieq-shihab-dimanfaatkan-jenderal-idham-azis-menyongsong-suksesi-calon-kapolri,8,2020-11-22 20:39:52.618004,"Sabtu, 21 November 2020 10:49 WIB",IPW: Kasus Rizieq Shihab Dimanfaatkan Jenderal Idham Azis Menyongsong Suksesi Calon Kapolri,1w
https://www.tribunnews.com/metropolitan/2020/11/21/pa-212-berterima-kasih-baliho-rizieq-shihab-dicopot-tni-ini-alasannya,9,2020-11-22 20:39:52.704061,"Sabtu, 21 November 2020 12:50 WIB","PA 212 Berterima Kasih Baliho Rizieq Shihab Dicopot TNI, Ini Alasannya",1w
https://www.tribunnews.com/metropolitan/2020/11/20/usai-serah-terima-jabatan-di-mabes-polri-eks-kapolda-metro-jaya-irjen-nana-sudjana-bungkam,10,2020-11-22 20:39:52.783627,"Jumat, 20 November 2020 11:31 WIB","Usai Serah Terima Jabatan di Mabes Polri, Eks Kapolda Metro Jaya, Irjen Nana Sudjana Bungkam",1w
