category,link,page,summary,timestamp,title,type
JAWA BARAT,https://www.liputan6.com/regional/read/4414476/massa-front-pembela-bangsa-tolak-kedatangan-rizieq-shihab-di-bandung,1.0,"Dalam aksi tersebut, peserta aksi menggelar orasi dan membawa spanduk berisi penolakan terhadap Rizieq Shihab",2020-11-22T04:00:07+07:00,Massa Front Pembela Bangsa Tolak Kedatangan Rizieq Shihab di Bandung,hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414725/video-bts-beri-pernyataan-mengenai-wajib-militer,1.0,Ada topik menarik yang dipertanyakan saat BTS menyapa penggemarnya dan media di konferensi pers global jelang perilisan album spesial ‘BE (Deluxe Edition)'.,2020-11-22T12:29:59+07:00,VIDEO: BTS Beri Pernyataan Mengenai Wajib Militer,hari-ini
INTERNASIONAL,https://www.liputan6.com/global/read/4414603/update-22-november-58-juta-kasus-covid-19-di-dunia-as-naik-1-juta-dalam-sepekan,1.0,Angka kasus Virus Corona COVID-19 di dunia saat ini adalah 58.463.328.,2020-11-22T11:00:00+07:00,"Update 22 November: 58 Juta Kasus COVID-19 di Dunia, AS Naik 1 Juta dalam Sepekan",hari-ini
JAWA BARAT,https://www.liputan6.com/regional/read/4414114/satgas-covid-19-garut-perketat-protokol-kesehatan-kerumunan-bakal-dibubarkan,1.0,Pengetatan jumlah massa dalam setiap kegiatan sesuai dengan interuksi pemerintah untuk menekan penyebaran kasus Covid-19 di Kabupate Garut.,2020-11-21T23:00:09+07:00,"Satgas Covid-19 Garut Perketat Protokol Kesehatan, Kerumunan Bakal Dibubarkan",hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414633/nadiem-makarim-izinkan-kampus-kuliah-tatap-muka-ini-syaratnya,2.0,Pemerintah memberikan keleluasaan pada Pemda untuk melakukan pembelajaran tatap muka mulai semester genap 2020/2021 atau Januari 2021.,2020-11-22T08:47:08+07:00,"Nadiem Makarim Izinkan Kampus Kuliah Tatap Muka, Ini Syaratnya",hari-ini
JAWA BARAT,https://www.liputan6.com/regional/read/4414114/satgas-covid-19-garut-perketat-protokol-kesehatan-kerumunan-bakal-dibubarkan,2.0,Pengetatan jumlah massa dalam setiap kegiatan sesuai dengan interuksi pemerintah untuk menekan penyebaran kasus Covid-19 di Kabupate Garut.,2020-11-21T23:00:09+07:00,"Satgas Covid-19 Garut Perketat Protokol Kesehatan, Kerumunan Bakal Dibubarkan",hari-ini
POLITIK,https://www.liputan6.com/news/read/4414536/jubir-wapres-bantah-maruf-amin-akan-bertemu-rizieq,2.0,"Masduki mengatakan, munculnya berita tersebut merupakan respons spontan dirinya menjawab kemungkinan pertemuan antara Ma'ruf dengan Rizieq.",2020-11-22T05:38:33+07:00,Jubir Wapres Bantah Ma'ruf Amin Akan Bertemu Rizieq,hari-ini
FILM,https://www.liputan6.com/showbiz/read/4414559/jogja-netpac-asian-film-festival-2020-digelar-di-tengah-pandemi-covid-19-ifa-isfansyah-buka-suara,2.0,Jogja-NETPAC Asian Film Festival 2020 digelar di tengah wabah Covid-19. Tak kurang dari 128 film akan ditayangkan. Ini kata Ifa Isfansyah.,2020-11-22T08:30:00+07:00,"Jogja-NETPAC Asian Film Festival 2020 Digelar di Tengah Pandemi Covid-19, Ifa Isfansyah Bu...",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414358/ifan-seventeen-ungkap-titik-terendah-dalam-hidupnya-sampai-benci-musik,2.0,Ifan Seventeen akhirnya sembuh dengan musik.,2020-11-22T07:00:11+07:00,Ifan Seventeen Ungkap Titik Terendah Dalam Hidupnya Sampai Benci Musik,hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414485/mengenal-lebih-dekat-dengan-olivia-istri-denny-sumargo,2.0,"Denny Sumargo, mengaku Olivia merupakan pilihan terbaiknya.",2020-11-21T20:30:45+07:00,"Mengenal Lebih Dekat dengan Olivia, Istri Denny Sumargo",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414629/viral-laporan-reses-tina-toon-salah-cantumkan-tahun-dituduh-copy-paste,2.0,"Laporan reses Tina Toon yang seharusnya mencantumkan tahun 2020, malah bertanggal 31 Agustus - 7 September 2015.",2020-11-22T10:00:00+07:00,"Viral Laporan Reses Tina Toon Salah Cantumkan Tahun, Dituduh Copy Paste",hari-ini
INTERNASIONAL,https://www.liputan6.com/global/read/4414362/who-total-kasus-covid-19-dunia-per-oktober-salip-jumlah-pada-6-bulan-awal,2.0,"WHO mengungkap bahwa kasus COVID-19 di seluruh dunia dalam sebulan terakhir, jauh lebih banyak dibanding kasus infeksi pada enam bulan pertama saat pandemi mulai.",2020-11-22T08:00:00+07:00,WHO: Total Kasus COVID-19 Dunia per Oktober Salip Jumlah pada 6 Bulan Awal,hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414650/tina-toon-soal-heboh-laporan-reses-no-copy-paste-ya,2.0,Tina Toon menyebutkan bukti bahwa dokumen yang keliru diunggah itu bukan miliknya.,2020-11-22T12:30:00+07:00,Tina Toon soal Heboh Laporan Reses: No Copy Paste Ya,hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414522/tebus-kesalahan-pelaku-ancaman-pembunuhan-terhadap-nora-alexandra-lakukan-aksi-sosial-berbagi-pangan,2.0,"Nora Alexandra memaafkan pelaku itu dengan satu syarat, si pelaku harus melakukan aksi sosial membagi-bagikan pangan kepada orang yang membutuhkan.",2020-11-22T13:00:00+07:00,"Tebus Kesalahan, Pelaku Ancaman Pembunuhan terhadap Nora Alexandra Lakukan Aksi Sosial Ber...",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414118/januari-2021-sekolah-akan-buka-lagi-zaskia-adya-mecca-deg-degan,2.0,"Zaskia Adya Mecca, siap melepas anak-anaknya kembali ke sekolah?",2020-11-22T09:00:10+07:00,"Januari 2021 Sekolah Akan Buka Lagi, Zaskia Adya Mecca Deg-degan",hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414814/live-streaming-sctv-sinetron-istri-tercinta-episode-minggu-22-november-2020,2.0,Istri Tercinta tayang setiap sore.,2020-11-22T15:08:41+07:00,"Live Streaming SCTV Sinetron Istri Tercinta Episode Minggu, 22 November 2020",hari-ini
LIFESTYLE,https://www.liputan6.com/lifestyle/read/4413785/bebek-karet-dan-simbol-pembangkangan-dalam-aksi-protes,2.0,"Yang terbaru, bebek karet muncul dalam aksi demo Thailand.",2020-11-21T21:01:05+07:00,Bebek Karet dan Simbol Pembangkangan dalam Aksi Protes,hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414494/terungkap-denny-sumargo-sempat-memaksa-saat-mengungkapkan-cintanya-kepada-olivia-allan,2.0,Denny Sumargo menikah dengan Olivia Allan pada Sabtu (21/11/2020).,2020-11-22T13:30:00+07:00,"Terungkap, Denny Sumargo Sempat Memaksa Saat Mengungkapkan Cintanya kepada Olivia Allan",hari-ini
LIGA INGGRIS,https://www.liputan6.com/bola/read/4414744/pep-guardiola-tottenham-pesaing-liga-inggris-terkuat-saat-ini,2.0,Manajer Manchester City Pep Guardiola yakin klasemen Liga Inggris saat ini tidak berbohong dan Tottenham asuhan Jose Mourinho tidak bisa dianggap enteng.,2020-11-22T14:00:10+07:00,Pep Guardiola : Tottenham Pesaing Liga Inggris Terkuat Saat Ini,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414644/psbb-transisi-jakarta-berakhir-minggu-22-november-bakal-kembali-diperpanjang,2.0,"Penerapan PSBB transisi DKI Jakarta berakhir pada hari ini, Minggu 22 November 2020.",2020-11-22T09:36:40+07:00,"PSBB Transisi Jakarta Berakhir Minggu 22 November, Bakal Kembali Diperpanjang?",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414671/kalina-mulai-panggil-vicky-prasetyo-sayang-dan-rela-jadi-anak-metal,2.0,"Dalam sebuah unggahan terbaru, Kalina Ocktaranny mengunggah potretnya bersama Vicky Prasetyo.",2020-11-22T15:00:00+07:00,Kalina Mulai Panggil Vicky Prasetyo Sayang dan Rela Jadi Anak Metal,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414729/ketua-satgas-covid-19-tangani-bencana-tidak-ada-perlakuan-diskriminasi,2.0,"Ketua Satgas Penanganan Covid-19 Doni Monardo menekankan, dalam menangani bencana, negara selalu memberikan perlakuan yang sama.",2020-11-22T12:31:24+07:00,"Ketua Satgas Covid-19: Tangani Bencana, Tidak Ada Perlakuan Diskriminasi",hari-ini
HISTORI,https://www.liputan6.com/global/read/4413864/22-11-1986-mike-tyson-jadi-juara-tinju-kelas-berat-termuda-dalam-sejarah,2.0,"Pada 22 November 1986, Mike Tyson yang berusia 20 tahun mengalahkan Trevor Berbick yang berusia 33 tahun hanya dalam lima menit dan 35 detik untuk menjadi pemegang gelar termuda yang pernah ada.",2020-11-22T06:02:01+07:00,22-11-1986: Mike Tyson Jadi Juara Tinju Kelas Berat Termuda dalam Sejarah,hari-ini
